SentenceId,EpisodeId,Season,Episode,Sentence
1,1,1,1,Pilot
2,1,1,1,Scene One
3,1,1,1,[Title: The Year 2030]
4,1,1,1,"Narrator: Kids, I'm going to tell you an incredible story. The story of how I met your mother"
5,1,1,1,Son: Are we being punished for something?
6,1,1,1,Narrator: No
7,1,1,1,"Daughter: Yeah, is this going to take a while?"
8,1,1,1,"Narrator: Yes. (Kids are annoyed) Twenty-five years ago, before I was dad, I had this whole other life."
9,1,1,1,"(Music Plays, Title ""How I Met Your Mother"" appears)"
10,1,1,1,"Narrator: It was way back in 2005. I was twenty-seven just starting to make it as an architect and living in New York with my friend Marshall, my best friend from college. My life was good and then Uncle Marshall went and screwed the whole thing up."
11,1,1,1,Marshall: (Opens ring) Will you marry me.
12,1,1,1,"Ted: Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor."
13,1,1,1,"Marshall: Got it. Thanks for helping me plan this out, Ted."
14,1,1,1,"Ted: Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things."
15,1,1,1,"Marshall: (laughs) yeah, sorry. We thought you were asleep."
16,1,1,1,"Ted: It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight."
17,1,1,1,"Marshall: Yeah, what are you doing tonight?"
18,1,1,1,(Scene Freezes)
19,1,1,1,"Narrator: What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney."
20,1,1,1,"[Cut to Later: Barney's in the barber shop, Ted's talking from home]"
21,1,1,1,"Barney: (on the phone) hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite: Lebanese girls! Lebanese girls are the new half-Asians."
22,1,1,1,"Ted: Hey, you wanna do something tonight?"
23,1,1,1,"Barney: Okay, meet me at the bar in fifteen minutes, and Suit up!"
24,1,1,1,
25,1,1,1,Scene Two
26,1,1,1,(The Bar)
27,1,1,1,Ted: Hey.
28,1,1,1,"Barney: Where's your suit!? Just once when I say suit up, I wish you'd put on a suit."
29,1,1,1,Ted: I did that one time.
30,1,1,1,Barney: It was a blazer!
31,1,1,1,"Ted: You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted""."
32,1,1,1,(Barney hits Ted)
33,1,1,1,Barney: I see what this is about. Have you forgotten what I said to you the night we met?
34,1,1,1,[Cut to Flashback the night Barney and Ted met]
35,1,1,1,[Still in the Bar]
36,1,1,1,(Ted is talking to another couple; Barney randomly joins them and interrupts)
37,1,1,1,"Barney: Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal."
38,1,1,1,"Ted: Oh, right. Hi."
39,1,1,1,"Barney: Lesson one, lose the goatee. It doesn't look good with your suit."
40,1,1,1,Ted: I'm not wearing a suit.
41,1,1,1,"Barney: Lesson two, get a suit. Suits are cool. (Points to self with bear bottle in hand) Exhibit A. (Flirts to a woman unseen) Lesson three, don't even think about getting married till you're... thirty."
42,1,1,1,[Flashback ends]
43,1,1,1,"Ted: Thirty, right. You're right. I guess it's just, you're best friend gets engaged-you start thinking about that stuff."
44,1,1,1,"Barney: I thought I was your best friend. Ted, say I'm your best friend."
45,1,1,1,"Ted: You're my best friend, Barney."
46,1,1,1,"Barney: Good! And as your best friend, I suggest we play a little game called... ""Have you met Ted?"""
47,1,1,1,"Ted: Wai-no, no, no. We're not playing ""Have You Met Ted?"""
48,1,1,1,"Barney: (Taps a woman names Yasmine) Hi, have you met Ted? (Leaves and watches from a distance)."
49,1,1,1,"Ted: (To Yasmine) Hi, I'm Ted."
50,1,1,1,Yasmine: Yasmine.
51,1,1,1,Ted: It's a very pretty name.
52,1,1,1,"Yasmine: Thanks, It's Lebanese."
53,1,1,1,
54,1,1,1,Scene Three
55,1,1,1,(The Apartment)
56,1,1,1,Marshall: Hey!
57,1,1,1,"Lily: Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy (takes coat off revealing a purple hand print on her right breast) got to second base with me. Wow, you're cooking?"
58,1,1,1,"Marshall: Yes, I am."
59,1,1,1,Lily: Aww-(They kiss) Are you sure that's a good idea after last time? You looked really creepy without eyebrows.
60,1,1,1,Marshall: I can handle this; I'm full of surprises tonight.
61,1,1,1,Lily: So there's more surprises? Like what?
62,1,1,1,"Narrator: Marshall was in his second year of law school, so he was pretty good at thinking on his feet."
63,1,1,1,Marshall: BOOGITY BOO! And that's all of them! I'm goanna go... cook. (Leaves)
64,1,1,1,"[Cut to the bar, Ted is chatting with Yasmine]"
65,1,1,1,"Ted: I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now."
66,1,1,1,Yasmine: So do you think you'll ever get married?
67,1,1,1,"Ted: Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged? (Yasmine laughs) Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?"
68,1,1,1,"Yasmine: Actually, I think it's cute."
69,1,1,1,"Ted: Well, you're clearly drunk (pulls her wine glass away. Hold up glass to bartender) ONE MORE FOR THE LADY!"
70,1,1,1,"[Cut to Kitchen with Marshall and Lily. Lily has a pan out sautéing, Marshall jumps off a countertop]"
71,1,1,1,"Marshall: Okay, look what I got (runs to the fridge. Takes out wine bottle)"
72,1,1,1,Lily: Aw-honey. Champagne! (hands it to Marshall)
73,1,1,1,Marshall: (after short silence) Yeah. (hands it back)
74,1,1,1,"Lily: (realizing) No, you are too old to be scared to open a bottle of champagne!"
75,1,1,1,Marshall: I'm not scared.
76,1,1,1,Lily: Then open it!
77,1,1,1,Marshall: Fine (takes bottle. Looks at it for a couple of seconds) Please open it (hands it to Lily)
78,1,1,1,"Lily: You are unbelievable, Marshall. No-(Scene splits in half and shows both Lily and Marshall on top arguing and Ted and Yasmine on the bottom mingling)"
79,1,1,1,"Narrator: There are two big questions a man has to ask in life. One you plan out for months, the other just slips out when you're half drunk at some bar."
80,1,1,1,Marshall: (To Lily) will you marry me?
81,1,1,1,Ted: (To Yasmine) you wanna go out sometime?
82,1,1,1,"(Scene split ends, and returns to Lily and Marshall's scene)"
83,1,1,1,"Lily: Of course, you idiot! (hugs him and they fall back)"
84,1,1,1,[Cut to Scene with Ted and Yasmine at bar]
85,1,1,1,Yasmine: I'm sorry; Carl's my boyfriend (points to bartender)
86,1,1,1,"Ted: Sup, Carl?"
87,1,1,1,"[Cut to Scene in Kitchen, Marshall and Lily lay up while on the ground, after s*x]"
88,1,1,1,Marshall: I promised Ted we wouldn't do that.
89,1,1,1,Lily: Did you know there's a pop tart under your fridge?
90,1,1,1,"Marshall: No, but dibs. Where's that champagne? I wanna drink a toast with my fiancé."
91,1,1,1,Lily: aww (claps. They kiss)
92,1,1,1,"Marshall: I don't know why I was so scared of this. Pretty easy right? (Pops cork, hit's Lily's eye)"
93,1,1,1,Lily: (YELLS)
94,1,1,1,Marshall: (covers mouth) OH!
95,1,1,1,Ted: Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.
96,1,1,1,Barney: (ignoring) how does Carl land a Lebanese girl?
97,1,1,1,"Ted: It's always been ""don't even think about it till you're thirty"""
98,1,1,1,Barney: Exactly-the guy doesn't even own a suit!
99,1,1,1,"Ted: Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, ""Okay, I'm ready! Where is she?"" (Spots Robin)"
100,1,1,1,Narrator: and there she was.
101,1,1,1,[Fade out]
102,1,1,1,
103,1,1,1,Scene Four
104,1,1,1,(The Bar-Focusing on Ted and Robin)
105,1,1,1,"Narrator: It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, ""see that girl? I'm going to marry her someday"""
106,1,1,1,"Ted: Hey Barney, see that girl?"
107,1,1,1,(Breif cut-out portion)
108,1,1,1,"Barney: (to Robin) Hey, have you met Ted?"
109,1,1,1,"Robin: Let me guess, (points) Ted?"
110,1,1,1,(Ted Nods)
111,1,1,1,
112,1,1,1,Scene Five
113,1,1,1,(Taxi on the way to hospital)
114,1,1,1,"Marshall: I'm sorry, Lily. I'm so sorry. Take us to the hospital."
115,1,1,1,"Cabdriver: Whoa, whoa, whoa-did you hit her?"
116,1,1,1,(Laughter)
117,1,1,1,"Lily: Hit me? Please, this guy could barely even spank me in bed for fun. He's all like, (hits ice in bag using to cover eye) ""Oh, did that hurt?"" and I'm like, ""Come on, let me have it you pansy!"" (realizes) Wow, complete stranger."
118,1,1,1,"Cabdriver: no, no, no, no-it's okay, go on. (Turns meter on.) So these, spankin's...you in pajamas or going ""naturelle"""
119,1,1,1,[Cut to bar with Robin]
120,1,1,1,Ted: So what do you do?
121,1,1,1,Robin: I'm a reporter for Metro News 1.
122,1,1,1,Ted: (nods) Oh.
123,1,1,1,"Robin: Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon."
